scenario,duration(s),folder
11,40,17-05-22_17-24-35
12,40,17-05-22_17-24-35
13,40,17-05-22_17-24-35
14,42,17-05-22_17-24-35
15,40,17-05-22_17-24-35
16,41,17-05-22_17-24-35
17,73,17-05-22_17-24-35
18,41,17-05-22_17-24-35
19,40,17-05-22_17-24-35
1,61,29-07-22_18-01-04
2,40,29-07-22_18-01-04
3,40,29-07-22_18-01-04
4,68,29-07-22_18-01-04
5,40,29-07-22_18-01-04
6,41,29-07-22_18-01-04
7,40,29-07-22_18-01-04
1,40,31-07-22_15-41-45
2,40,31-07-22_15-41-45
3,40,31-07-22_15-41-45
4,40,31-07-22_15-41-45
5,40,31-07-22_15-41-45
6,75,31-07-22_15-41-45
1,40,21-05-22_15-31-56
2,66,21-05-22_15-31-56
3,41,21-05-22_15-31-56
4,65,21-05-22_15-31-56
5,41,21-05-22_15-31-56
6,161,21-05-22_15-31-56
7,40,21-05-22_15-31-56
8,41,21-05-22_15-31-56
9,40,21-05-22_15-31-56
10,72,21-05-22_15-31-56
11,168,21-05-22_15-31-56
12,40,21-05-22_15-31-56
13,52,21-05-22_15-31-56
14,74,21-05-22_15-31-56
15,154,21-05-22_15-31-56
16,43,21-05-22_15-31-56
17,40,21-05-22_15-31-56
18,214,21-05-22_15-31-56
19,41,21-05-22_15-31-56
20,44,21-05-22_15-31-56
21,40,21-05-22_15-31-56
22,40,21-05-22_15-31-56
23,85,21-05-22_15-31-56
24,84,21-05-22_15-31-56
25,119,21-05-22_15-31-56
26,40,21-05-22_15-31-56
27,119,21-05-22_15-31-56
28,58,21-05-22_15-31-56
29,155,21-05-22_15-31-56
30,105,21-05-22_15-31-56
31,78,21-05-22_15-31-56
32,100,21-05-22_15-31-56
33,82,21-05-22_15-31-56
34,107,21-05-22_15-31-56
35,40,21-05-22_15-31-56
36,79,21-05-22_15-31-56
37,53,21-05-22_15-31-56
38,41,21-05-22_15-31-56
39,100,21-05-22_15-31-56
40,80,21-05-22_15-31-56
41,51,21-05-22_15-31-56
42,92,21-05-22_15-31-56
43,227,21-05-22_15-31-56
44,57,21-05-22_15-31-56
45,40,21-05-22_15-31-56
46,68,21-05-22_15-31-56
47,41,21-05-22_15-31-56
48,43,21-05-22_15-31-56
49,108,21-05-22_15-31-56
50,40,21-05-22_15-31-56
51,54,21-05-22_15-31-56
52,40,21-05-22_15-31-56
53,102,21-05-22_15-31-56
54,98,21-05-22_15-31-56
55,40,21-05-22_15-31-56
56,70,21-05-22_15-31-56
57,40,21-05-22_15-31-56
58,96,21-05-22_15-31-56
59,66,21-05-22_15-31-56
60,87,21-05-22_15-31-56
61,85,21-05-22_15-31-56
62,40,21-05-22_15-31-56
63,42,21-05-22_15-31-56
64,45,21-05-22_15-31-56
65,40,21-05-22_15-31-56
66,66,21-05-22_15-31-56
67,100,21-05-22_15-31-56
68,41,21-05-22_15-31-56
69,174,21-05-22_15-31-56
70,255,21-05-22_15-31-56
71,40,21-05-22_15-31-56
72,123,21-05-22_15-31-56
73,117,21-05-22_15-31-56
74,44,21-05-22_15-31-56
75,43,21-05-22_15-31-56
76,40,21-05-22_15-31-56
77,43,21-05-22_15-31-56
1,40,28-06-22_13-57-07
2,55,28-06-22_13-57-07
3,73,28-06-22_13-57-07
4,60,28-06-22_13-57-07
5,40,28-06-22_13-57-07
6,42,28-06-22_13-57-07
7,64,28-06-22_13-57-07
8,120,28-06-22_13-57-07
9,41,28-06-22_13-57-07
10,48,28-06-22_13-57-07
11,50,28-06-22_13-57-07
12,44,28-06-22_13-57-07
13,41,28-06-22_13-57-07
14,43,28-06-22_13-57-07
15,41,28-06-22_13-57-07
16,40,28-06-22_13-57-07
17,129,28-06-22_13-57-07
18,47,28-06-22_13-57-07
19,55,28-06-22_13-57-07
20,41,28-06-22_13-57-07
1,129,05-08-22_12-24-16
2,90,05-08-22_12-24-16
3,68,05-08-22_12-24-16
4,46,05-08-22_12-24-16
5,42,05-08-22_12-24-16
6,41,05-08-22_12-24-16
7,41,05-08-22_12-24-16
8,45,05-08-22_12-24-16
9,67,05-08-22_12-24-16
10,43,05-08-22_12-24-16
11,49,05-08-22_12-24-16
12,89,05-08-22_12-24-16
13,100,05-08-22_12-24-16
14,42,05-08-22_12-24-16
15,44,05-08-22_12-24-16
16,152,05-08-22_12-24-16
17,137,05-08-22_12-24-16
18,42,05-08-22_12-24-16
19,71,05-08-22_12-24-16
20,85,05-08-22_12-24-16
21,54,05-08-22_12-24-16
22,113,05-08-22_12-24-16
23,41,05-08-22_12-24-16
24,115,05-08-22_12-24-16
25,81,05-08-22_12-24-16
26,129,05-08-22_12-24-16
27,41,05-08-22_12-24-16
28,118,05-08-22_12-24-16
1,80,28-06-22_15-07-47
2,40,28-06-22_15-07-47
3,40,28-06-22_15-07-47
4,40,28-06-22_15-07-47
5,52,28-06-22_15-07-47
6,40,28-06-22_15-07-47
7,45,28-06-22_15-07-47
8,97,28-06-22_15-07-47
9,58,28-06-22_15-07-47
10,103,28-06-22_15-07-47
11,40,28-06-22_15-07-47
12,41,28-06-22_15-07-47
13,40,28-06-22_15-07-47
14,42,28-06-22_15-07-47
15,40,28-06-22_15-07-47
16,40,28-06-22_15-07-47
17,41,28-06-22_15-07-47
18,41,28-06-22_15-07-47
19,40,28-06-22_15-07-47
1,67,21-05-22_00-09-27
2,63,21-05-22_00-09-27
3,41,21-05-22_00-09-27
4,44,21-05-22_00-09-27
5,107,21-05-22_00-09-27
6,75,21-05-22_00-09-27
7,60,21-05-22_00-09-27
8,40,21-05-22_00-09-27
9,46,21-05-22_00-09-27
10,46,21-05-22_00-09-27
11,50,21-05-22_00-09-27
12,40,21-05-22_00-09-27
13,96,21-05-22_00-09-27
14,41,21-05-22_00-09-27
15,41,21-05-22_00-09-27
16,43,21-05-22_00-09-27
17,40,21-05-22_00-09-27
18,41,21-05-22_00-09-27
19,60,21-05-22_00-09-27
20,44,21-05-22_00-09-27
21,53,21-05-22_00-09-27
22,41,21-05-22_00-09-27
23,62,21-05-22_00-09-27
24,44,21-05-22_00-09-27
25,40,21-05-22_00-09-27
26,193,21-05-22_00-09-27
27,40,21-05-22_00-09-27
28,40,21-05-22_00-09-27
29,86,21-05-22_00-09-27
30,79,21-05-22_00-09-27
31,41,21-05-22_00-09-27
32,41,21-05-22_00-09-27
33,40,21-05-22_00-09-27
34,99,21-05-22_00-09-27
35,137,21-05-22_00-09-27
36,42,21-05-22_00-09-27
37,86,21-05-22_00-09-27
38,50,21-05-22_00-09-27
39,40,21-05-22_00-09-27
40,40,21-05-22_00-09-27
41,40,21-05-22_00-09-27
42,49,21-05-22_00-09-27
43,41,21-05-22_00-09-27
44,42,21-05-22_00-09-27
45,95,21-05-22_00-09-27
46,42,21-05-22_00-09-27
47,44,21-05-22_00-09-27
48,238,21-05-22_00-09-27
49,44,21-05-22_00-09-27
50,121,21-05-22_00-09-27
51,41,21-05-22_00-09-27
1,49,04-08-22_13-12-32
2,77,04-08-22_13-12-32
3,114,04-08-22_13-12-32
4,60,04-08-22_13-12-32
5,134,04-08-22_13-12-32
6,120,04-08-22_13-12-32
7,133,04-08-22_13-12-32
8,62,04-08-22_13-12-32
9,169,04-08-22_13-12-32
1,40,21-05-22_12-29-03
2,58,21-05-22_12-29-03
3,41,21-05-22_12-29-03
4,98,21-05-22_12-29-03
5,280,21-05-22_12-29-03
6,73,21-05-22_12-29-03
7,40,21-05-22_12-29-03
8,48,21-05-22_12-29-03
9,97,21-05-22_12-29-03
10,70,21-05-22_12-29-03
11,71,21-05-22_12-29-03
12,40,21-05-22_12-29-03
13,94,21-05-22_12-29-03
14,44,21-05-22_12-29-03
15,67,21-05-22_12-29-03
16,41,21-05-22_12-29-03
17,113,21-05-22_12-29-03
18,97,21-05-22_12-29-03
19,267,21-05-22_12-29-03
20,118,21-05-22_12-29-03
21,76,21-05-22_12-29-03
