scenario,start_time,end_time,start_time_readable,end_time_readable,escooter_clicks,bike_clicks,pedestrian_clicks,duration(s),video_start_time,video_end_time
3,1659386792,1659386802,2022-08-01 16:46:32,2022-08-01 16:46:42,2,0,0,10,-1659386532532067437,-1659386532532067427
5,1659386828,1659386839,2022-08-01 16:47:08,2022-08-01 16:47:19,3,3,0,11,-1659386532532067401,-1659386532532067390
6,1659386968,1659386978,2022-08-01 16:49:28,2022-08-01 16:49:38,0,1,0,10,-1659386532532067261,-1659386532532067251
8,1659387047,1659387071,2022-08-01 16:50:47,2022-08-01 16:51:11,0,13,0,24,-1659386532532067182,-1659386532532067158
9,1659387093,1659387103,2022-08-01 16:51:33,2022-08-01 16:51:43,13,0,0,10,-1659386532532067136,-1659386532532067126
10,1659387149,1659387159,2022-08-01 16:52:29,2022-08-01 16:52:39,0,1,0,10,-1659386532532067080,-1659386532532067070
11,1659387311,1659387330,2022-08-01 16:55:11,2022-08-01 16:55:30,2,5,0,19,-1659386532532066918,-1659386532532066899
12,1659387333,1659387343,2022-08-01 16:55:33,2022-08-01 16:55:43,0,1,0,10,-1659386532532066896,-1659386532532066886
13,1659387364,1659387374,2022-08-01 16:56:04,2022-08-01 16:56:14,0,1,0,10,-1659386532532066865,-1659386532532066855
15,1659387411,1659387421,2022-08-01 16:56:51,2022-08-01 16:57:01,0,1,0,10,-1659386532532066818,-1659386532532066808
16,1659387424,1659387440,2022-08-01 16:57:04,2022-08-01 16:57:20,0,5,0,16,-1659386532532066805,-1659386532532066789
17,1659387441,1659387457,2022-08-01 16:57:21,2022-08-01 16:57:37,0,3,0,16,-1659386532532066788,-1659386532532066772
18,1659387509,1659387519,2022-08-01 16:58:29,2022-08-01 16:58:39,0,2,0,10,-1659386532532066720,-1659386532532066710
19,1659387547,1659387557,2022-08-01 16:59:07,2022-08-01 16:59:17,0,1,0,10,-1659386532532066682,-1659386532532066672
24,1659387656,1659387666,2022-08-01 17:00:56,2022-08-01 17:01:06,0,2,0,10,-1659386532532066573,-1659386532532066563
25,1659387684,1659387701,2022-08-01 17:01:24,2022-08-01 17:01:41,0,2,0,17,-1659386532532066545,-1659386532532066528
26,1659387720,1659387730,2022-08-01 17:02:00,2022-08-01 17:02:10,0,2,0,10,-1659386532532066509,-1659386532532066499
28,1659387775,1659387785,2022-08-01 17:02:55,2022-08-01 17:03:05,0,1,0,10,-1659386532532066454,-1659386532532066444
29,1659387814,1659387824,2022-08-01 17:03:34,2022-08-01 17:03:44,0,1,0,10,-1659386532532066415,-1659386532532066405
32,1659388316,1659388327,2022-08-01 17:11:56,2022-08-01 17:12:07,2,1,0,11,-1659386532532065913,-1659386532532065902
33,1659388375,1659388385,2022-08-01 17:12:55,2022-08-01 17:13:05,0,1,0,10,-1659386532532065854,-1659386532532065844
34,1659388397,1659388408,2022-08-01 17:13:17,2022-08-01 17:13:28,2,0,0,11,-1659386532532065832,-1659386532532065821
36,1659388447,1659388457,2022-08-01 17:14:07,2022-08-01 17:14:17,0,1,0,10,-1659386532532065782,-1659386532532065772
37,1659388461,1659388471,2022-08-01 17:14:21,2022-08-01 17:14:31,0,1,0,10,-1659386532532065768,-1659386532532065758
38,1659388493,1659388504,2022-08-01 17:14:53,2022-08-01 17:15:04,0,4,0,11,-1659386532532065736,-1659386532532065725
39,1659388516,1659388526,2022-08-01 17:15:16,2022-08-01 17:15:26,0,1,0,10,-1659386532532065713,-1659386532532065703
40,1659388527,1659388552,2022-08-01 17:15:27,2022-08-01 17:15:52,0,5,0,25,-1659386532532065702,-1659386532532065677
42,1659388605,1659388616,2022-08-01 17:16:45,2022-08-01 17:16:56,0,2,0,11,-1659386532532065624,-1659386532532065613
46,1659389532,1659389542,2022-08-01 17:32:12,2022-08-01 17:32:22,0,2,0,10,-1659386532532064697,-1659386532532064687
47,1659389585,1659389595,2022-08-01 17:33:05,2022-08-01 17:33:15,0,2,0,10,-1659386532532064644,-1659386532532064634
48,1659389623,1659389634,2022-08-01 17:33:43,2022-08-01 17:33:54,0,2,0,11,-1659386532532064606,-1659386532532064595
50,1659389746,1659389756,2022-08-01 17:35:46,2022-08-01 17:35:56,0,1,0,10,-1659386532532064483,-1659386532532064473
51,1659389784,1659389794,2022-08-01 17:36:24,2022-08-01 17:36:34,0,2,0,10,-1659386532532064445,-1659386532532064435
52,1659389840,1659389850,2022-08-01 17:37:20,2022-08-01 17:37:30,0,1,0,10,-1659386532532064389,-1659386532532064379
53,1659389945,1659389956,2022-08-01 17:39:05,2022-08-01 17:39:16,2,0,0,11,-1659386532532064284,-1659386532532064273
54,1659389992,1659390002,2022-08-01 17:39:52,2022-08-01 17:40:02,0,1,0,10,-1659386532532064237,-1659386532532064227
56,1659390030,1659390040,2022-08-01 17:40:30,2022-08-01 17:40:40,0,2,0,10,-1659386532532064199,-1659386532532064189
57,1659390083,1659390093,2022-08-01 17:41:23,2022-08-01 17:41:33,0,1,0,10,-1659386532532064146,-1659386532532064136
58,1659390104,1659390114,2022-08-01 17:41:44,2022-08-01 17:41:54,0,2,0,10,-1659386532532064125,-1659386532532064115
59,1659390115,1659390133,2022-08-01 17:41:55,2022-08-01 17:42:13,0,2,0,18,-1659386532532064114,-1659386532532064096
60,1659390170,1659390180,2022-08-01 17:42:50,2022-08-01 17:43:00,0,1,0,10,-1659386532532064059,-1659386532532064049
61,1659390206,1659390217,2022-08-01 17:43:26,2022-08-01 17:43:37,0,2,0,11,-1659386532532064023,-1659386532532064012
