scenario,start_time,end_time,start_time_readable,end_time_readable,escooter_clicks,bike_clicks,pedestrian_clicks,duration(s),video_start_time,video_end_time
1,1659386787,1659386807,2022-08-01 16:46:27,2022-08-01 16:46:47,2,0,0,20,-1659386532532067442,-1659386532532067422
2,1659386823,1659386844,2022-08-01 16:47:03,2022-08-01 16:47:24,3,3,0,21,-1659386532532067406,-1659386532532067385
3,1659386963,1659386983,2022-08-01 16:49:23,2022-08-01 16:49:43,0,1,0,20,-1659386532532067266,-1659386532532067246
4,1659387042,1659387108,2022-08-01 16:50:42,2022-08-01 16:51:48,13,13,0,66,-1659386532532067187,-1659386532532067121
5,1659387144,1659387164,2022-08-01 16:52:24,2022-08-01 16:52:44,0,1,0,20,-1659386532532067085,-1659386532532067065
6,1659387306,1659387348,2022-08-01 16:55:06,2022-08-01 16:55:48,2,6,0,42,-1659386532532066923,-1659386532532066881
7,1659387359,1659387379,2022-08-01 16:55:59,2022-08-01 16:56:19,0,1,0,20,-1659386532532066870,-1659386532532066850
8,1659387406,1659387462,2022-08-01 16:56:46,2022-08-01 16:57:42,0,9,0,56,-1659386532532066823,-1659386532532066767
9,1659387504,1659387524,2022-08-01 16:58:24,2022-08-01 16:58:44,0,2,0,20,-1659386532532066725,-1659386532532066705
10,1659387542,1659387562,2022-08-01 16:59:02,2022-08-01 16:59:22,0,1,0,20,-1659386532532066687,-1659386532532066667
13,1659387651,1659387671,2022-08-01 17:00:51,2022-08-01 17:01:11,0,2,0,20,-1659386532532066578,-1659386532532066558
14,1659387679,1659387706,2022-08-01 17:01:19,2022-08-01 17:01:46,0,2,0,27,-1659386532532066550,-1659386532532066523
15,1659387715,1659387735,2022-08-01 17:01:55,2022-08-01 17:02:15,0,2,0,20,-1659386532532066514,-1659386532532066494
16,1659387770,1659387790,2022-08-01 17:02:50,2022-08-01 17:03:10,0,1,0,20,-1659386532532066459,-1659386532532066439
17,1659387809,1659387829,2022-08-01 17:03:29,2022-08-01 17:03:49,0,1,0,20,-1659386532532066420,-1659386532532066400
18,1659388311,1659388332,2022-08-01 17:11:51,2022-08-01 17:12:12,2,1,0,21,-1659386532532065918,-1659386532532065897
19,1659388370,1659388390,2022-08-01 17:12:50,2022-08-01 17:13:10,0,1,0,20,-1659386532532065859,-1659386532532065839
20,1659388392,1659388413,2022-08-01 17:13:12,2022-08-01 17:13:33,2,0,0,21,-1659386532532065837,-1659386532532065816
21,1659388442,1659388557,2022-08-01 17:14:02,2022-08-01 17:15:57,0,12,0,115,-1659386532532065787,-1659386532532065672
23,1659388600,1659388621,2022-08-01 17:16:40,2022-08-01 17:17:01,0,2,0,21,-1659386532532065629,-1659386532532065608
26,1659389527,1659389547,2022-08-01 17:32:07,2022-08-01 17:32:27,0,2,0,20,-1659386532532064702,-1659386532532064682
27,1659389580,1659389600,2022-08-01 17:33:00,2022-08-01 17:33:20,0,2,0,20,-1659386532532064649,-1659386532532064629
28,1659389618,1659389639,2022-08-01 17:33:38,2022-08-01 17:33:59,0,2,0,21,-1659386532532064611,-1659386532532064590
29,1659389741,1659389761,2022-08-01 17:35:41,2022-08-01 17:36:01,0,1,0,20,-1659386532532064488,-1659386532532064468
30,1659389779,1659389799,2022-08-01 17:36:19,2022-08-01 17:36:39,0,2,0,20,-1659386532532064450,-1659386532532064430
31,1659389835,1659389855,2022-08-01 17:37:15,2022-08-01 17:37:35,0,1,0,20,-1659386532532064394,-1659386532532064374
32,1659389940,1659389961,2022-08-01 17:39:00,2022-08-01 17:39:21,2,0,0,21,-1659386532532064289,-1659386532532064268
33,1659389987,1659390007,2022-08-01 17:39:47,2022-08-01 17:40:07,0,1,0,20,-1659386532532064242,-1659386532532064222
34,1659390025,1659390045,2022-08-01 17:40:25,2022-08-01 17:40:45,0,2,0,20,-1659386532532064204,-1659386532532064184
35,1659390078,1659390098,2022-08-01 17:41:18,2022-08-01 17:41:38,0,1,0,20,-1659386532532064151,-1659386532532064131
36,1659390099,1659390138,2022-08-01 17:41:39,2022-08-01 17:42:18,0,4,0,39,-1659386532532064130,-1659386532532064091
37,1659390165,1659390185,2022-08-01 17:42:45,2022-08-01 17:43:05,0,1,0,20,-1659386532532064064,-1659386532532064044
38,1659390201,1659390222,2022-08-01 17:43:21,2022-08-01 17:43:42,0,2,0,21,-1659386532532064028,-1659386532532064007
