,avg_frame_rate,lowest_frame_rate,num_of_rows_fps_below_10,duration_min
21-05-22_15-31-56,9.999069767441862,9.96,0.0,171.85
31-07-22_17-09-50,10.0,9.99,0.0,71.16
30-07-22_20-43-29,10.000153846153847,10.0,0.0,64.45
29-06-22_12-37-30,9.999591836734695,9.99,0.0,97.79
30-07-22_17-55-03,10.000153846153847,9.96,0.0,64.11
31-07-22_15-41-45,10.0,10.0,0.0,60.93
17-05-22_12-02-36,10.001081081081082,10.0,0.0,36.02
28-07-22_17-31-28,10.0,10.0,0.0,59.09
28-07-22_18-38-48,9.998524590163933,9.91,0.0,60.3
30-07-22_19-40-32,10.0,9.99,0.0,62.86
29-06-22_15-17-14,10.0,10.0,0.0,116.82
30-07-22_13-15-17,10.0,9.99,0.0,67.66
06-08-22_11-40-28,9.97581818181818,7.43,1.0,108.6
19-05-22_19-32-43,9.98275590551181,7.8,1.0,126.91
11-05-22_18-00-31,9.988181818181816,9.97,0.0,10.71
